# Chataigne 简体中文 / English translation table
# Format: 中文<TAB>English
# Keep English source text stable; user-created names and project data are not part of this file.
文件	File
要发送的数据包优先级	Priority of the packets to send
前往	Go
触发后前往所选仪表板	When triggered, this will go to the selected dashboard
用于 Voronoi 或渐变带等二维插值器	Use for 2D interpolator such as Voronoi or Gradient band
选择一个使用二维 Voronoi 模式的自定义变量组\n以在此处编辑其变形器	Select a Custom Variable Group with 2D Voronoi mode\nto edit its morpher here.
如果是这样，请务必重启	If so, you should definitely restart
清除后才能看到更改。	after clearing in order to see changes.
发生崩溃？	Got crashed ?
发送并关闭	Send and close
仅关闭	Close only
发送并恢复	Send and recover
仅恢复	Recover Only
如果你愿意接受联系以协助修复问题，请填写联系邮箱（仅用于此目的）。	Your contact email if you accept to be contacted to help fix the problem (and only that !).
请在此填写尽可能完整且有趣的说明。只有真心想写时，也可以写些祝福。	Your super comprehensive yet fun explanation here. You can write love messages as well, but only if you mean it.
提示动作	Action on Cue
音符已播放	A note has been played
绝对无限滚动	Absolute infinite scrolling
二次曲线的锚点 1	Anchor 1 of the quadratic curve
二次曲线的锚点 2	Anchor 2 of the quadratic curve
命令参数	Argument for this command
自动吸附	Auto Snap
BPM 预览	BPM Preview
用于在时间线中预览的 BPM。	BPM for previewing in the timeline.
每小节拍数	Beats Per Bar
边界框右下角	Bottom right of the bounding box
清除所有值	Clear Values
清除模块中的所有值	Clear all values in the module
清除值	Clear values
片段长度	Clip Length
片段起始偏移	Clip Start Offset
时钟继续信号	Clock Continue signal
时钟开始信号	Clock Start signal
时钟停止信号	Clock Stop signal
继续模式	Continue Mode
继续模式	Continue mode
提示备注	Cue Notes
提示编号	Cue Number
提示目标	Cue Target
提示时间	Cue Time
当前时间	Current Time
此序列在时间线中的当前位置	Current position in time of this sequence
节拍器自定义第一拍声音文件	Custom 1st beat sound file for metronome
自定义 Bip	Custom Bip
自定义 Bop	Custom Bop
自定义输入范围	Custom input range
节拍器自定义其他拍声音文件	Custom other beats sound file for metronome
此类型的默认大小	Default Size for this type
鸭音电平	Duck Level
鸭音电平	Duck level
效果索引	Effect Index
在此处启用并控制节拍器音量	Enable and control metronome volume here
视图结束时间	End time of the view
根据检测到的点估算的三维位置	Estimated 3D position from the detected points
跳转时评估	Evaluate on Seek
淡入	Fade In
淡出并停止其他	Fade and stop others
片段开始处的淡出时间	Fade time at start of the clip
文件目标路径	File Target Path
插值的第一个锚点	First anchor for this interpolation
旗帜 Y 坐标	Flag Y
正弦波的频率和振幅	Frequency and amplitude of the sine wave
应用于此输入通道的增益	Gain to apply to this input channel
跳到此图层的下一个关键帧	Go to the next key in this layer
跳到此图层的上一个关键帧	Go to the previous key in this layer
是否收到水平鼠标滚轮的数据？	Has data been received from the horizontal mouse wheel?
是否收到垂直鼠标滚轮的数据？	Has data been received from the vertical mouse wheel?
如果勾选，开始播放一个序列后会停止其他所有序列	If checked, as soon as one sequence is playing, all the other ones stop
如果勾选，移动项目时会自动吸附	If checked, this will automatically snap when moving items
如果勾选，将在文件中保存和加载当前时间；否则加载文件时当前时间将重置为 0。	If checked, this will save and load the current time in the file. Otherwise the current time will be reset to 0 on file load.
如果选中，序列将在文件加载后立即开始播放	If selected, the sequence will start playing just after loading the file
如果音频为单声道，则将其路由到所有选中的输出通道	If the audio is mono, route it to all selected output channels
如果控制器在初始化时未通电，可以单击此处连接	If the controllers were not powered on at initialization, then you can connect by clicking here
如果当前提示关联了序列，将停止该序列	If the current cue has a linked sequence, this will stop it
如果当前提示关联了序列，将切换其播放/暂停状态	If the current cue has a linked sequence, this will toggle play/pause it.
图板索引	Index of the Board
列索引	Index of the Column
电路索引	Index of the circuit
组索引	Index of the group
序列索引	Index of the sequence
幻灯片索引	Index of the slide
子母线索引	Index of the submaster
要选择的索引	Index to select
噪声靠近末尾时的影响	Influence of the noise close to the end
噪声靠近末尾时的影响；垂直方向表示八度	Influence of the noise close to the end. Vertical is octaves
噪声靠近开头时的影响	Influence of the noise close to the start
噪声靠近开头时的影响；垂直方向表示种子	Influence of the noise close to the start. Vertical is the seed
输入值目标	Input Value Target
正在播放	Is Playing
是否正在播放序列？	Is the sequence playing ?
此按钮是否被按下	Is this button pressed
此旋钮是否被按下	Is this knob pressed
此面板是否至少被一个触摸点按下	Is this pad pressed by at least one touch
此滑块是否至少被一个触摸点按下	Is this slider pressed by at least one touch
如果上一个提示前不足 1 秒，则跳到更早的上一个提示	Jump to previous cue, if previous cue is less than 1 sec before, jump to the one before that.
跳到下一个提示	Jump to the next cue
此处仅用于强制触发，来自 HeavyM 文档。	Just here to force trigger, from the HeavyM doc.
该主题最近收到的消息	Last received message for this topic
图层名称	Layer Name
左右简单声像	Left/Right simple panning
片段长度（秒）	Length of the clip (in seconds)
片段核心长度，不含循环（秒）	Length of the clip's core, without looping (in seconds)
片段核心之后的循环长度	Length of the clip's oop, after the core
灯光名称	Light Name
所有网络接口的 IP 列表	List all IPs of all network interfaces
监听全部	Listen to all
不监听	Listen to none
使用默认时间和默认插值曲线加载此预设	Load this preset with the default time and the default interpolation curve
触发器层中锁定所有现有触发器	Lock all existing triggers in this layer
循环长度	Loop Length
媒体名称	Media name
信号的最小值和最大值	Min and max values of the signal
缩放时视图的最小范围	Minimum range of the view when zooming
最小视图范围	Minimum view range
仅播放一个序列	Only one sequence playing
面板叠加文字	Overlay text for this pad
滑块叠加文字	Overlay text for this slider
参数名称	Param Name
提示目标文件路径	Path to the cue target file
项目文件路径	Path to the project file
暂停序列并保持当前时间不变。	Pause the sequence and keep the current time as is.
中心死区百分比，用于避免输入噪声	Percentage of dead zone in the center to avoid noisy input
播放速度	Play Speed
加载时播放	Play at Load
播放此序列	Play the sequence
播放器 ID	Player ID
播放速度因子，1 为正常速度，2 为两倍速度，0.5 为半速	Playing speed factor, 1 is normal speed, 2 is double speed and 0.5 is half speed
播放回放	Plays the playback
二维插值控制模式中的位置，例如 Voronoi 或 Gradient Band	Position in a 2D interpolation control mode, such as Voronoi or Gradient Band
触摸时面板中的位置	Position in this pad, if touched
触发器旗帜的位置	Position of the trigger's flag
定位视图	Position the view
上一个提示	Prev Cue
随机化所有值	Randomize all values
重新连接控制器	Reconnect Controllers
刷新 Wiimote	Refresh Wiimotes
根据旋钮灵敏度进行相对滚动	Relative scrolling depending on knob sensitivity
重新加载脚本	Reload the script
重置拉伸	Reset Stretch
重置节拍器时间	Reset the metronome time
将拉伸因子重置为 1	Reset the stretch factor to 1
重置 Ajazz AKP	Resets the Ajazz AKP
重置 Stream Deck	Resets the stream deck
需要此参数来触发 Resolume	Resolume needs this arg to trigger
休止时间	Rest Time
将单声道路由到所有通道	Route Mono to all channels
保存当前时间	Save Current Time
第二触发动作	Second Trigger Action
插值的第二个锚点	Second anchor for this interpolation
第二触发动作	Second trigger action
视图中的大小	Size in the view
每一步的大小	Size of each step
幻灯片索引	Slide Index
开始时间	Start Time
视图的开始时间	Start time of the view
此 IP 的状态	Status for this IP
此进程的状态	Status for this process
停止关联的序列	Stop Linked Sequence
拉伸因子	Stretch Factor
此片段的拉伸方式	Stretching of  this clip
同步数据	Sync Data
同步数据	Sync the data
点击节拍	Tap Tempo
目标旋转	Target Rotation
目标时间	Target Time
目标值	Target Value
测试崩溃	Test crash
总时间	Total Time
此序列的总时间（秒）	Total time of this sequence, in seconds
触发当前项	Trigger Current
触发上一个项	Trigger Previous
触发所有结果；多路复用时触发预览索引处的结果	Trigger all the consequences. Triggers at the previewed index if multiplexed
每拍触发	Trigger on every beat
每小节开始时触发	Trigger on every start of bar
尝试重新连接 Wiimote	Try to reconnect the wiimotes
解锁此图层中所有现有触发器	Unlock all existing triggers in this layer
更新信息	Update informations
更新输入分辨率	Update input resolution
命令的值	Value for this command
参数值	Value of the parameter
垂直滑块位置	Vertical slider position
视图结束时间	View end time
视图开始时间	View start time
音量乘数	Volume multiplier
图层音量乘数	Volume multiplier for the layer
水平滚轮数据	Wheel Data - Horizontal
垂直滚轮数据	Wheel Data - Vertical
序列自然到达末尾且没有循环时	When the sequence reached naturally its end, and there is no loop
触发后移除模块中存储的所有值	When triggered, this will remove all stored values in this module
播放到末尾时是否从头重新播放	Whether the sequence plays again from the start when reached the end while playing
按节拍触发	press me at least twice to set tempo
更新输入分辨率	to update the input resolution
更新信息	update informations
图板索引	Board Index
图板名称	Board Name
此按钮的颜色	Color for this button
此面板的颜色	Color for this pad
此滑块的颜色	Color for this slider
列索引	Column Index
列名称	Column Name
取消选择所有值	Deselect all values
发送 Art-Net 的目标 IP	IP to which send the Art-Net to
播放器 ID	Id of the player
适用时，此宇宙的子网	If applicable the subnet for this universe
适用时，此宇宙的网络	If appliccable the net for this universe
如果启用，则以多播模式接收	If checked, this will receive in Multicast Mode
如果启用，则以多播模式发送	If checked, this will send in Multicast Mode
如果启用，将把此输入的音频直接发送到输出	If enabled, sends audio from this input directly to the output
如果启用，将画布限制为此大小	If enabled, this will limit the canvas to this size
此面板的图像	Image for this pad
旋钮旋转尚不受此型号支持	Knob rotation is not yet supported on this model.
IP 列表	List IPs
接收 ArtNet 数据的本地端口	Local port to receive ArtNet data
接收 ArtNet 数据的本地端口；必须启用此项才能接收数据	Local port to receive ArtNet data. This needs to be enabled in order to receive data
接收 SACN 数据的本地端口	Local port to receive SACN data
接收 SACN 数据的本地端口；必须启用此项才能接收数据	Local port to receive SACN data. This needs to be enabled in order to receive data
我的值是	My value is
图板名称	Name of the Board
列名称	Name of the Column
效果名称	Name of the Effect
图层名称	Name of the Layer
灯光名称	Name of the Light
Quartz 输入名称	Name of the Quartz Input
效果参数名称	Name of the effect's parameter
要在目标图层中启动的媒体名称	Name of the media to launch in the target layer
要跳转到的片段名称	Name of the segment to go to
广播名称	Name to advertise
新小节	New Bar
新节拍	New Beat
新的节拍速度（BPM）	New tempo value, in BPM
节点名称	Node Name
已播放音符	Note Played
提示的备注	Notes of the cue
每小节的拍数；仅用于界面预览	Number of beats in a bar. Only for preview in UI
提示编号	Number of the cue
目标提示编号	Number of the target cue
轴未居中时的偏移	Offset if axis is not centered
项目路径	Project path
Quartz 输入名称	Quartz Input Name
开始录制	Start Record
停止录制	Stop Record
停止播放	Stops the playback
停止序列并将当前时间设置为 0。	Stops the sequence and set the current time at 0.
目标序列	The target Sequence to control
二维插值器中的目标位置	The target position in the 2D interpolator
要设置的鼠标目标位置	The target position of the mouse to set
接收器的宇宙，范围为 0 到 15	The Universe to receive from, from 0 to 15
接收器的网络，范围为 0 到 15	The net to receive from, from 0 to 15
发送器的网络，范围为 0 到 15	The net to send to, from 0 to 15
接收器的子网，范围为 0 到 15	The subnet to receive from, from 0 to 15
发送器的子网，范围为 0 到 15	The subnet to send to, from 0 to 15
宇宙	The universe
窗口位置。禁用后不会修改窗口位置	The window position. Leave disable to not change it
提示到达时可执行额外动作。Pause 会在提示处暂停，Loop Jump 会跳到另一个提示，从而方便创建循环。	This can be used to add an extra action when the timeline hits the cue. Pause will pause at the cue, Loop Jump will jump to another cue, allowing for easy loop in-out behaviour.
决定手动跳转时何时评估数据（例如触发时间触发器）。	This decides when it should evaluate data (like triggering time triggers) when seeking manually.
这会自动关闭所有容器的监听	This will automatically disable listen to all containers
这会自动启用所有容器的监听	This will automatically enable listen to all containers
程序即将终止时触发	This will be triggered when the program is about to terminate.
程序崩溃、即将像一只悲伤的小狗一样终止前触发	This will be triggered when the program has crashed, just before killing itself like a sad puppy.
重新触发当前提示	This will re-trigger the current cue
将增量重置为 0	This will reset the increment to 0
重置时间	This will reset the time
条件验证通过时触发，并触发所有真结果	This will trigger as if the conditions have been validated, and trigger all the Consequences:TRUE
触发下一个提示并将当前提示设为下一个	This will trigger the next cue and set the current one to next
使用组中当前值更新预设的所有值	This will update all the preset's values with the current ones from the Group
动作触发时间	Time at which the action is triggered
片段开始时间	Time of the start of the clip
切换关联序列	Toggle Linked Sequence
根据序列设置在播放/暂停或播放/停止之间切换	Toggle between play/pause or play/stop depending on sequence settings
边界框左上角	Top left of the bounding box
选择所有用于路由的值	Select all values for routing
立即触发所有已启用的路由	Immediately trigger all enabled routes
正在加载…	Loading...
已断开	disconnected
输入 #	Input #
已是最新	Up to date
# Timeline, routing, and common enum values that are stored as model keys but
# displayed directly by the generic parameter and manager editors.
路由器	Router
路由器	Routers
添加路由器	Add Router
序列	Sequence
切换播放	TogglePlay
仅播放时	When Playing Only
未播放时	When Not Playing
始终	Always
从不	Never
无	Nothing
循环跳转	Loop Jump
完成	Finish
声像	Panning
节拍器	Metronome
继续	Continue
随机化	Randomize
加载	Load
清除日志	Clear Logs
启用图层	Enable Layer
禁用图层	Disable layer
前往提示	Go to cue
前往下一个提示	Go to next cue
前往上一个提示	Go to prev cue
前往列表值	Go to List Value
前往参数值	Go to Parameter Value
前往值	Go to Value
搜索…	Search...
浏览…	Browse...
片段起始偏移	Offset at which the clip starts
撤销最后操作	Undo the last action
重做已撤销操作	Redo the undone action
复制所选项目	Copy the selected items
剪切所选项目	Cut the selected items
粘贴剪贴板内容	Paste whatever is in the clipboard
创建所选项目副本	Duplicate the selected items
删除所选项目	Delete the selected items
选择所有包含项目或同级项目	Select all the containing items or siblings
选择列表中的上一个项目	Select previous item in the list
选择列表中的下一个项目	Select next item in the list
将此项目与上一个交换	Swap this item with the previous one
将此项目与下一个交换	Swap this item with the next one
创建新的滤镜图文件	Creates a new filter graph file
打开滤镜图文件	Opens a filter graph file
将当前图形保存到文件	Saves the current graph to a file
将当前图形的副本保存到文件	Saves a copy of the current graph to a file
检查更新并下载最新软件	Check if updates are available and download latest software
编辑项目相关设置	Edit the settings related to this project
编辑应用程序常规设置	Edit the general settings related to this application
清除偏好设置以恢复默认状态	If you got some funky things going on, just clear your preferences and hopefully everything will be awesome again !
在窗口模式和信息亭模式之间切换	Toggle between window mode and kiosk mode
在仪表板编辑模式和播放模式之间切换	Toggle between edit and play mode for the dashboard
更新仪表板服务器文件	Update the Dashboard server files
